date,jasmine,milk_tea,choco_milk,brown_sugar,nastar,strawberry_milk,manggo_milk,rose_milk,rose_milk_tea,lemon,lychee,mango,strawberry,orange,markisa,lemon_lychee,lemon_orange,lemon_mango,orange_lychee,orange_mango,mango_lychee,markisa_fruit,markisa_mango_fruit,passion_lychee_fruit,watermelon_mango_fruit,watermelon_lychee_fruit,sales_total
09/01/2024,108,5,8,5,,2,2,,,8,11,2,1,,,,,,,,,1,,,,,956000
09/02/2024,96,2,2,1,,1,,,,2,2,2,3,,,,,,,,,,,,,,602000
09/03/2024,75,1,5,1,,,1,1,,2,4,4,1,1,,,,,,,,,,,,,543000
09/04/2024,63,,1,1,,,1,,,4,2,5,1,1,,,,,,,,,,,,,480000
09/05/2024,77,1,1,2,,3,2,1,,4,3,8,2,1,,,,,,,,,,,,,613000
09/06/2024,89,2,5,3,,2,1,1,,5,2,6,1,4,,,,,,,,,,1,,,705000
09/07/2024,82,1,4,,,4,2,2,,4,4,1,1,5,,,,,,,,,,,,,610000
09/08/2024,91,7,10,2,,6,2,,,4,4,1,1,2,1,,,,,,,,,,,,787000
09/09/2024,55,,,1,,,,,,1,2,1,,,2,,,,,,,,,,,,307000
09/10/2024,52,1,1,1,,,,,,1,2,2,1,,,,,,,,,,,,,,318000
09/11/2024,85,3,10,3,,3,4,,,4,7,2,2,5,,,,,,,,,,,,,769000
09/12/2024,72,1,7,2,,,,,,3,4,2,1,2,,,,,,,,2,,,,,559000
09/13/2024,102,3,5,4,,1,1,,1,7,2,2,3,1,,,,,,,,1,,,,,728000
09/14/2024,95,,7,1,,1,,,,2,1,5,,2,2,,,,,,,,,,,,613000
09/15/2024,109,1,5,8,,3,4,,,7,4,3,1,1,1,,,,,,,,,,,,841000
09/16/2024,66,4,,4,,2,3,2,,1,7,1,3,,2,,,,,,,,,,,,558000
09/17/2024,80,1,3,1,,,1,,,3,3,,1,4,,,,,,,,,,,,,508000
